source,target,weight
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xe000008459b74a91e306a47c808061dfa372000e,82.34380161300116
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xe000008459b74a91e306a47c808061dfa372000e,46.013116475781274
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xe000008459b74a91e306a47c808061dfa372000e,213.02120211817746
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,84.73075178042888
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,787.3320091608468
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xadeb5a75f3fad068cc46384a4d4b7a7e01fedb2f,63.41299331808477
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xadeb5a75f3fad068cc46384a4d4b7a7e01fedb2f,317.5995912134598
0x1_0xdec7eccd6e1abf4149b36ad5dd53afaf20eaa1a7,0x1_0xdaf211344fe49b22bc737764dfbe957a07baad27,695.571413574402
0x1_0xdec7eccd6e1abf4149b36ad5dd53afaf20eaa1a7,0x1_0xdaf211344fe49b22bc737764dfbe957a07baad27,347.806126666782
0x1_0x5ccd16958b3808d80b24838dd7190c67bfde91d0,0x1_0xa848cfd057fe36df94ec2fe5e2201a162140bd10,314.143630282861
0x1_0x5ccd16958b3808d80b24838dd7190c67bfde91d0,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,78.91113251416681
0x1_0x5ccd16958b3808d80b24838dd7190c67bfde91d0,0x1_0xa000071d5b7f57fb5c3bc7a6b6d75c57d73d000a,156.58099870777144
0x1_0x5ccd16958b3808d80b24838dd7190c67bfde91d0,0x1_0x0e1e1fde4b509104fe9b40df7ab925c0d831a8ac,93.05662827351391
0x1_0x5ccd16958b3808d80b24838dd7190c67bfde91d0,0x1_0x3101cbc9d002087d4decbbea6178ad1cfae94163,185.21678936545985
0x1_0xb4c8cddc137f46348231c937c4d36b643320af22,0x1_0xaebcbdffaee0e7b5c60c4118d2c7d0007a66c0f9,12.632718098
0x1_0xd51504f5cea4905585311121a92e2ed9b714f374,0x1_0xf0002be189396b07b0ff1d5ee5f457f61e5c9129,20716.267847664
0x1_0x37ffe93c07b80062454dcca32c4c0971956ab0bd,0x1_0xcb587d69d3efcd1f1ae2eb6fdd63711a7aea1090,3885.296578197895
0x1_0x37ffe93c07b80062454dcca32c4c0971956ab0bd,0x1_0x331d6e1a2f6386e3e8fec4dab259473ad1a2fbef,444.461536421735
0x1_0xcbf19248753f2ce5c81a50565f514ea556718050,0x1_0x5d93ee78d80db7824fd77f09d1bc142b7507ddcf,6074.8999136
0x1_0xcbf19248753f2ce5c81a50565f514ea556718050,0x1_0x40000019df2f05ae6c1eacdfa4886b5dc6040004,1770.2572412800002
0x1_0xe47b9fc94560379017373ed8e526ccdebf177485,0x1_0x43b056a120a7e247059fbc509abb97633c032e0b,45.326764090778894
0x1_0xe47b9fc94560379017373ed8e526ccdebf177485,0x1_0x0d6a752cf1fc1211c4861500fa6e0081d414556c,24.86763349770876
0x1_0xc9bedfdcf8ed8e95c5a1a0fc6e62eb1683ccca5d,0x1_0x14c07a5f107a9d15a6c2d0c131dcb3933386503e,17.965383416783222
0x1_0x8fe97ae0a20cde8700c72c4cbf5826b543d2d98c,0x1_0xf6bff1acae5c13488946e4e5d26e14cbd48bfccb,0.837484709982991
0x1_0x56ee25d95a0429692aea7e63ccb2d4c268b68637,0x1_0x90281f9c9c174ffb065dcc78452e4d8a1930a26a,52.989922129074856
0x1_0x7af96e26fda3da9966ab1c02912cf45e7df05c3d,0x1_0x0d6a752cf1fc1211c4861500fa6e0081d414556c,25.2503693707118
0x1_0xdc5055f8d2d2b18f6f52c02eab590d4e8ec4e4c1,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,62.23951134014847
